NAT_MARK,SCH_NM,PROV_NM,SUBM,Teacher_Gender,ACHIEVEMENTS1,MIDTERM1,FINAL1
0-60,0,0,0,1,28.0,17.0,45.0
0-60,0,0,0,1,27.0,14.0,41.5
0-60,0,0,0,1,27.0,13.0,27.5
0-60,0,0,0,1,26.0,15.0,44.0
0-60,0,0,0,1,25.0,14.0,31.5
80-90,0,0,0,1,30.0,20.0,50.0
70-80,0,0,0,1,30.0,20.0,48.5
60-70,0,0,0,1,28.0,16.0,44.0
60-70,0,0,0,1,30.0,19.0,45.0
0-60,0,0,0,1,26.0,14.0,35.0
0-60,0,0,0,1,28.0,12.0,40.0
0-60,0,0,0,1,26.0,14.0,37.5
0-60,0,0,0,1,30.0,19.0,45.5
0-60,0,0,0,1,28.0,17.0,45.0
0-60,0,0,0,1,27.0,16.0,42.5
0-60,0,0,0,1,27.0,18.0,36.0
0-60,0,0,0,1,28.0,20.0,45.0
70-80,0,0,0,1,30.0,19.0,48.0
0-60,0,0,0,1,25.0,15.0,44.5
0-60,0,0,0,1,27.0,16.0,38.0
0-60,0,0,0,1,26.0,15.0,32.5
0-60,0,0,0,1,25.0,12.0,40.5
70-80,0,0,0,1,28.0,16.0,46.5
0-60,0,0,0,1,28.0,16.0,35.5
0-60,0,0,0,1,27.0,18.0,46.0
0-60,0,0,0,1,28.0,16.0,35.5
60-70,0,0,0,1,30.0,18.0,47.5
0-60,0,0,0,1,25.0,15.0,40.0
0-60,0,0,0,1,25.0,7.0,29.0
60-70,0,0,0,1,30.0,19.0,49.0
0-60,0,0,0,1,24.0,12.0,38.0
0-60,0,0,0,1,23.0,10.0,37.5
70-80,0,0,0,1,30.0,18.0,49.0
0-60,0,0,0,1,26.0,15.0,33.0
0-60,0,0,0,1,26.0,13.0,38.0
0-60,0,0,0,1,25.0,14.0,48.0
0-60,0,0,0,1,28.0,14.0,40.0
0-60,0,0,0,1,28.0,14.0,42.0
0-60,0,0,0,1,23.0,10.0,43.0
0-60,0,0,0,1,27.0,12.0,32.0
0-60,0,0,0,1,26.0,17.0,44.0
0-60,0,0,0,1,28.0,17.0,41.5
0-60,0,0,0,1,30.0,18.0,40.0
0-60,0,0,0,1,28.0,16.0,43.0
0-60,0,0,0,1,30.0,17.0,41.5
60-70,0,0,0,1,30.0,20.0,48.0
60-70,0,0,0,1,29.0,18.0,44.5
0-60,0,0,0,1,25.0,13.0,31.0
60-70,0,0,0,1,30.0,20.0,49.5
0-60,0,0,0,1,28.0,15.0,37.0
60-70,0,0,0,1,27.0,15.0,45.0
60-70,0,0,0,1,27.0,14.0,43.5
0-60,0,0,0,1,27.0,15.0,35.0
0-60,0,0,0,1,27.0,16.0,40.0
0-60,0,0,0,1,30.0,19.0,47.0
60-70,0,0,0,1,30.0,17.0,40.5
0-60,0,0,0,1,30.0,19.0,44.5
60-70,0,0,0,1,28.0,16.0,43.5
0-60,0,0,0,1,28.0,15.0,40.0
60-70,0,0,0,1,30.0,17.0,42.0
0-60,0,0,0,1,29.0,15.0,26.5
0-60,0,0,0,1,28.0,16.0,37.5
0-60,0,0,0,1,28.0,17.0,44.5
0-60,0,0,0,1,28.0,16.0,44.5
60-70,0,0,0,1,30.0,17.0,50.0
0-60,0,0,0,1,28.0,18.0,46.5
0-60,0,0,0,1,30.0,18.0,46.5
60-70,0,0,0,1,30.0,20.0,50.0
0-60,0,0,0,1,29.0,16.0,42.5
60-70,0,0,0,1,28.0,17.0,43.0
0-60,0,0,0,1,26.0,12.0,33.5
0-60,0,0,0,1,29.0,19.0,42.0
60-70,0,0,0,1,27.0,16.0,38.0
60-70,0,0,0,1,30.0,14.0,40.5
0-60,0,0,0,1,27.0,13.0,36.5
0-60,0,0,0,1,28.0,13.0,25.0
0-60,3,2,0,1,26.0,6.0,5.0
0-60,3,2,0,1,29.0,18.0,26.0
0-60,3,2,0,1,25.0,10.0,18.0
